"wid","agegroup","gender","hand","thirdgrade_usa","thirdgrade_usa_region","s1_dae","s1_time","s2_dae","s2_time","s3_dae","s3_time","db_version"
"0147","41-60","female","right","TRUE","midwest","0","earlyafternoon","26","earlyafternoon","50","latemorning","version5"
"0012","18-24","male","right","TRUE","northeast","0","earlyafternoon","21","earlyafternoon","58","latemorning","version5"
"0354","18-24","Female","Right","TRUE","Midwest","0","Late Afternoon","31","Late Morning","61","Early Afternoon","version5"
"0118","25-40","Male","Right","TRUE","NA","0","Late Morning","39","Late Morning","119","Late Afternoon","version5"
"0668","41-60","Female","Right","TRUE","Midwest","0","Early afternoon (12:00pm-2:30pm)","33","Late afternoon (2:30pm-5pm)","65","Late morning (9:30am-12:00pm)","version5"
"0626","18-24","Female","Right","TRUE","South","0","Late morning (9:30am-12:00pm)","33","Early morning (earlier than 9:30am)","58","Late evening (later than 7:30pm)","version5"
"0204","18-24","Female","Right","TRUE","Midwest","0","Early Afternoon","38","Late Morning","91","Early Afternoon","version5"
"0606","18-24","Male","Left","TRUE","South","0","Late afternoon (2:30pm-5pm)","49","Early evening (5pm-7:30pm)","146","Late afternoon (2:30pm-5pm)","version5"
"0554","18-24","Female","Right","TRUE","Northeast","0","Late afternoon (2:30pm-5pm)","53","Late evening (later than 7:30pm)","74","Late evening (later than 7:30pm)","version5"
"0075","61+","female","right","TRUE","midwest","0","latemorning","29","earlymorning","82","earlyafternoon","version5"
"0128","18-24","female","right","TRUE","NA","0","earlyafternoon","40","earlyafternoon","71","latemorning","version5"
"0516","18-24","Male","Right","FALSE","NA","0","Late Evening","NA","NA","242","Late Afternoon","version5"
"0644","18-24","Female","Right","TRUE","Midwest","0","Late afternoon (2:30pm-5pm)","30","Late evening (later than 7:30pm)","52","Late evening (later than 7:30pm)","version5"
"0422","25-40","Male","Left","FALSE","NA","0","Early Afternoon","23","Early Evening","54","Early Evening","version5"
"0202","25-40","Female","Right","TRUE","West","0","Early Afternoon","60","Late Afternoon","250","Early Afternoon","version5"
"0576","18-24","Female","Right","TRUE","Midwest","0","Early evening (5pm-7:30pm)","31","Late afternoon (2:30pm-5pm)","58","Late morning (9:30am-12:00pm)","version5"
"0036","18-24","female","right","TRUE","midwest","0","lateevening","36","lateevening","95","lateafternoon","version5"
"0517","25-40","Female","Right","TRUE","Midwest","0","Late Morning","21","Late Morning","42","Late Afternoon","version5"
