"wid","agegroup","gender","hand","thirdgrade_usa","thirdgrade_usa_region","s1_dae","s1_time","s2_dae","s2_time","s3_dae","s3_time","db_version"
"0003","25-40","female","right","TRUE","midwest","0","earlyafternoon","21","earlyafternoon","47","earlyafternoon","version5"
"0034","25-40","female","right","TRUE","midwest","0","earlymorning","28","lateafternoon","50","lateafternoon","version5"
"0586","61+","Female","Right","TRUE","Midwest","0","Late evening (later than 7:30pm)","24","Early morning (earlier than 9:30am)","48","Late afternoon (2:30pm-5pm)","version5"
"0264","41-60","Female","Right","TRUE","South","0","Early Morning","28","Early Afternoon","66","Late Afternoon","version5"
"0199","25-40","Female","Right","TRUE","South","0","Late Afternoon","83","Early Evening","134","Early Evening","version5"
"0335","18-24","Female","Right","TRUE","South","0","Early Evening","54","Late Morning","119","Early Evening","version5"
"0456","18-24","Male","Right","TRUE","Midwest","0","Early Evening","27","Early Morning","48","Late Morning","version5"
"0223","18-24","Female","Left","TRUE","Midwest","0","Early Evening","252","Early Evening","272","Late Afternoon","version5"
"0543","18-24","Female","Right","TRUE","Midwest","0","Late Afternoon","23","Late Afternoon","47","Early Afternoon","version5"
"0662","18-24","Female","Right","TRUE","Midwest","0","Early Evening","27","Late Morning","67","Late Afternoon","version5"
"0201","25-40","Female","Right","TRUE","West","0","Late Afternoon","40","Early Afternoon","107","Early Morning","version5"
"0148","25-40","male","right","FALSE","NA","0","earlyafternoon","23","earlyafternoon","51","earlyafternoon","version5"
"0408","18-24","Female","Right","TRUE","Midwest","0","Late Morning","24","Early Evening","52","Early Evening","version5"
"0623","25-40","Female","Right","FALSE","NA","0","Early morning (earlier than 9:30am)","18","Early afternoon (12:00pm-2:30pm)","44","Early afternoon (12:00pm-2:30pm)","version5"
"0029","41-60","female","right","TRUE","midwest","0","earlymorning","47","lateevening","97","earlymorning","version5"
"0414","18-24","Female","Right","TRUE","NA","0","Late Morning","46","Late Afternoon","132","Late Morning","version5"
"0093","41-60","male","right","TRUE","midwest","0","latemorning","39","lateevening","72","lateevening","version5"
"0320","41-60","Female","Right","TRUE","Northeast","0","Late Afternoon","97","Early Morning","200","Late Evening","version5"
"0077","25-40","male","right","FALSE","NA","0","lateevening","35","earlyafternoon","69","lateevening","version5"
